Site,best_dRNA,n,norm_ratio,ON_ratio,OT_ratio,sem_norm_ratio,sem_ON_ratio
ZSCAN2 sgRNA1 OT2,1s,3,37.92690723430917,0.7298723813717363,0.018897777544464343,7.070571032939272,0.04004149941233074
FANCF sgRNA2 OT1,1,3,29.95627595187538,1.0357653861505918,0.03559158942954168,3.421815585655751,0.03956491754176505
VEGFA sgRNA2 OT17,8,3,13.107988587228613,1.0184049313501222,0.07821703049870311,1.5718718956637727,0.08350907278107345
CCR5-R30 OT-CCR2,3,3,11.339784530109204,0.5715705249187237,0.06072660458848758,6.806062883037555,0.2795297589503865
ZSCAN2 sgRNA1 OT1,3,3,8.953219354814989,0.8161417623886461,0.10135694171090186,2.0678087391030027,0.039177306895254664
VEGFA sgRNA2 OT2,8,3,7.50263512759106,1.0027679467659758,0.16555191925357324,2.598420084207477,0.20723197607746768
HBB-R01 OT-HBD,2,3,7.477543807749257,0.8936601802149223,0.10502127606969724,1.7424795027698297,0.17946408860886712
VEGFA sgRNA3 OT4,1,3,6.754822076312451,1.4849858037451238,0.3200411791051537,1.6844112284810826,0.07301504101208788
VEGFA sgRNA1 OT1,2,3,6.7202225892269345,0.9272143630209025,0.13903504125274568,0.9666427282461644,0.09687135431903085
HBB-R03 OT-HBD,4,3,6.5549258577491205,0.8899847373660015,0.14124694579692518,2.006008970666077,0.12259938588832514
VEGFA sgRNA1 OT4,8,3,4.986987299749138,0.5090381311197407,0.10380641401531474,1.3665822447896705,0.1353359397621169
VEGFA sgRNA1 OT6,8,3,4.568904916223778,0.6639071756337788,0.14716490290405482,1.4889476566171027,0.19223831320302442
VEGFA sgRNA2 OT1,1,3,4.3240389400355,1.0476611584910167,0.2538970647474955,0.9156372422566048,0.10209611792322412
VEGFA sgRNA3 OT2,2,3,4.25914470494656,1.0421162994861606,0.24753546870496182,0.43290443064386896,0.039690207811956084
VEGFA sgRNA3 OT18,5,3,2.127775692424697,1.3346364753824385,0.6257458961764027,1.1305575106580632,0.49868254502663617
VEGFA sgRNA1 OT11,7,3,40.59902159220175,0.3088267898725011,0.013811044539064435,16.94307389980592,0.08297820437303377
HBB-G10 OT1,7,3,3.73809138056437,0.4709304356716271,0.19838505162475906,1.4940857419857407,0.08030041689492565
VEGFA sgRNA2 OT19,5,3,1.545626492756996,0.7196051518898667,0.39537738018253926,0.5534775984082297,0.1254724212703717
HBB-R04 OT-HBD,4,3,1.1573769838855887,0.7708052758333708,0.6097826193270484,0.2885429217888413,0.08545234086556473
